amfi_code,period,years,start_date,end_date,start_nav,end_nav,cagr,cagr_pct
100016,1Y,1,2025-05-29,2026-05-29,596.8877,583.6113,-0.02224270997710287,-2.224270997710287
100016,3Y,3,2023-05-29,2026-05-29,561.5519,583.6113,0.01292649342495622,1.292649342495622
100025,1Y,1,2025-05-29,2026-05-29,30.7452,31.8843,0.03704968580461343,3.704968580461343
100025,3Y,3,2023-05-29,2026-05-29,28.4135,31.8843,0.039163899571040384,3.9163899571040384
100033,1Y,1,2025-05-29,2026-05-29,223.1951,342.0072,0.5323239623092084,53.23239623092084
100033,3Y,3,2023-05-29,2026-05-29,147.2155,342.0072,0.32442459421956116,32.442459421956116
101206,1Y,1,2025-05-29,2026-05-29,522.7639,773.2939,0.4792412023860102,47.92412023860102
101206,3Y,3,2023-05-29,2026-05-29,360.4971,773.2939,0.2896769452874166,28.96769452874166
101207,1Y,1,2025-05-29,2026-05-29,71.018,53.9836,-0.23986031710270628,-23.986031710270627
101207,3Y,3,2023-05-29,2026-05-29,61.3081,53.9836,-0.04152381044854481,-4.152381044854481
101208,1Y,1,2025-05-29,2026-05-29,382.4272,410.1021,0.0723664530138024,7.23664530138024
101208,3Y,3,2023-05-29,2026-05-29,341.2705,410.1021,0.06315784491375509,6.315784491375509
102885,1Y,1,2025-05-29,2026-05-29,156.2127,187.7797,0.20207703983094838,20.207703983094838
102885,3Y,3,2023-05-29,2026-05-29,109.5778,187.7797,0.1966726206830185,19.66726206830185
102886,1Y,1,2025-05-29,2026-05-29,150.9137,125.564,-0.16797480944407306,-16.797480944407305
102886,3Y,3,2023-05-29,2026-05-29,128.4997,125.564,-0.007674063178547241,-0.7674063178547241
102887,1Y,1,2025-05-29,2026-05-29,333.6461,378.9657,0.135831349444816,13.5831349444816
102887,3Y,3,2023-05-29,2026-05-29,191.4633,378.9657,0.25556187904126526,25.556187904126524
118632,1Y,1,2025-05-29,2026-05-29,82.5157,110.5554,0.339810484550213,33.9810484550213
118632,3Y,3,2023-05-29,2026-05-29,59.9173,110.5554,0.22652359830098634,22.652359830098632
118633,1Y,1,2025-05-29,2026-05-29,72.9656,91.601,0.25539980483954094,25.539980483954096
118633,3Y,3,2023-05-29,2026-05-29,51.5912,91.601,0.2108997654925684,21.08997654925684
118634,1Y,1,2025-05-29,2026-05-29,116.2826,134.6683,0.15811221971300937,15.811221971300938
118634,3Y,3,2023-05-29,2026-05-29,106.8805,134.6683,0.08007927728656083,8.007927728656083
118635,1Y,1,2025-05-29,2026-05-29,266.7501,326.7508,0.22493224932249345,22.493224932249344
118635,3Y,3,2023-05-29,2026-05-29,189.0531,326.7508,0.20008208380471482,20.00820838047148
118636,1Y,1,2025-05-29,2026-05-29,34.2441,37.8243,0.10454939683040276,10.454939683040276
118636,3Y,3,2023-05-29,2026-05-29,33.5654,37.8243,0.040622050237771434,4.062205023777143
119092,1Y,1,2025-05-29,2026-05-29,50.0336,50.8387,0.016091186722522632,1.6091186722522632
119092,3Y,3,2023-05-29,2026-05-29,50.045,50.8387,0.005258871209757432,0.5258871209757432
119093,1Y,1,2025-05-29,2026-05-29,48.7784,58.4203,0.197667410165155,19.7667410165155
119093,3Y,3,2023-05-29,2026-05-29,33.127,58.4203,0.20816771175535864,20.816771175535862
119094,1Y,1,2025-05-29,2026-05-29,166.74,203.8581,0.22261065131342206,22.261065131342207
119094,3Y,3,2023-05-29,2026-05-29,82.651,203.8581,0.35111802096428524,35.11180209642853
119095,1Y,1,2025-05-29,2026-05-29,98.1286,56.1319,-0.427976145588544,-42.797614558854406
119095,3Y,3,2023-05-29,2026-05-29,81.548,56.1319,-0.11705806723995271,-11.705806723995272
119120,1Y,1,2025-05-29,2026-05-29,51.3673,54.2038,0.055219955107626895,5.5219955107626895
119120,3Y,3,2023-05-29,2026-05-29,45.7168,54.2038,0.05840358798463097,5.840358798463097
119551,1Y,1,2025-05-29,2026-05-29,93.0716,149.3216,0.6043734071403091,60.43734071403091
119551,3Y,3,2023-05-29,2026-05-29,67.2551,149.3216,0.3045652442030289,30.456524420302888
119552,1Y,1,2025-05-29,2026-05-29,130.2974,137.7323,0.05706100044974027,5.706100044974027
119552,3Y,3,2023-05-29,2026-05-29,87.6319,137.7323,0.16267372294624916,16.267372294624916
119598,1Y,1,2025-05-29,2026-05-29,169.1715,309.205,0.8277605861507404,82.77605861507405
