fund_rank,amfi_code,scheme_name,cagr_pct,sharpe_ratio,alpha,expense_ratio_pct,max_drawdown,return_score,sharpe_score,alpha_score,expense_score,max_dd_score,fund_score
1,148567,Mirae Asset Large Cap Fund - Regular - Growth,34.0,1.7298,0.2698,1.46,-0.1127,97.44,100.0,84.62,43.59,82.05,85.9
2,120505,ICICI Pru Midcap Fund - Regular - Growth,31.78,1.4242,0.2926,1.36,-0.1819,89.74,92.31,94.87,64.1,38.46,82.44
3,120843,Kotak Flexicap Fund - Regular - Growth,29.58,1.5622,0.2733,1.45,-0.1297,84.62,97.44,89.74,46.15,69.23,81.54
4,100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,32.44,1.3072,0.272,1.38,-0.1622,92.31,84.62,87.18,61.54,51.28,80.64
5,120504,ICICI Pru Bluechip Fund - Direct - Growth,32.49,1.1946,0.2119,0.8,-0.1259,94.87,76.92,69.23,71.79,71.79,79.49
6,119094,Axis Midcap Fund - Regular - Growth,35.11,1.1857,0.2608,1.38,-0.2096,100.0,74.36,79.49,61.54,30.77,76.79
7,119551,SBI Bluechip Fund - Regular Plan - Growth,30.46,1.4174,0.232,1.54,-0.1501,87.18,89.74,76.92,25.64,58.97,73.72
8,148569,Mirae Asset Tax Saver Fund - Regular - Growth,29.18,1.4838,0.2827,1.6,-0.164,82.05,94.87,92.31,10.26,48.72,73.21
9,101206,ABSL Frontline Equity Fund - Regular - Growth,28.97,1.1965,0.214,1.6,-0.1129,79.49,79.49,71.79,10.26,79.49,67.56
10,119598,SBI Small Cap Fund - Regular Plan - Growth,26.67,1.1464,0.3034,1.43,-0.2871,71.79,69.23,100.0,48.72,10.26,67.18
11,149324,DSP Small Cap Fund - Regular - Growth,27.0,1.1509,0.3006,1.52,-0.3117,76.92,71.79,97.44,35.9,7.69,66.67
12,118632,Nippon India Large Cap Fund - Regular - Growth,22.65,1.2617,0.2183,1.51,-0.1741,66.67,82.05,74.36,41.03,43.59,65.9
12,149323,DSP Midcap Fund - Regular - Growth,26.87,1.3492,0.266,1.61,-0.1725,74.36,87.18,82.05,5.13,46.15,65.9
14,119552,SBI Bluechip Fund - Direct Plan - Growth,16.27,1.1028,0.1987,0.66,-0.118,43.59,66.67,64.1,92.31,74.36,63.85
15,125497,HDFC Top 100 Fund - Direct Plan - Growth,18.43,0.891,0.1773,0.92,-0.152,53.85,53.85,61.54,66.67,56.41,57.56
16,118635,Nippon India ETF Nifty 50 BeES,20.01,0.7573,0.1514,0.89,-0.1165,58.97,51.28,43.59,69.23,76.92,57.31
17,118633,Nippon India Large Cap Fund - Direct - Growth,21.09,0.7356,0.1564,0.72,-0.1863,64.1,46.15,46.15,89.74,35.9,57.05
18,102885,UTI Nifty 50 Index Fund - Regular - Growth,19.67,0.9356,0.1705,1.57,-0.1086,56.41,58.97,53.85,15.38,84.62,53.21
19,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,14.75,1.0759,0.2087,1.52,-0.1527,41.03,64.1,66.67,35.9,53.85,52.44
20,120503,ICICI Pru Bluechip Fund - Regular - Growth,13.98,0.9156,0.177,1.42,-0.139,38.46,56.41,58.97,51.28,66.67,51.79
21,120507,ICICI Pru Liquid Fund - Regular - Growth,7.39,0.9648,0.0675,0.74,-0.001,28.21,61.54,23.08,84.62,100.0,51.15
22,120506,ICICI Pru Value Discovery Fund - Regular - Growth,18.42,0.7416,0.1625,1.41,-0.1983,51.28,48.72,51.28,53.85,33.33,49.23
23,119093,Axis Bluechip Fund - Direct - Growth,20.82,0.1549,0.0823,0.75,-0.2175,61.54,25.64,30.77,82.05,23.08,45.64
24,102887,UTI Flexi Cap Fund - Regular - Growth,25.56,0.7078,0.1621,1.64,-0.2154,69.23,43.59,48.72,2.56,25.64,44.36
25,120844,Kotak Liquid Fund - Regular - Growth,6.7,0.3242,0.0646,0.6,-0.0012,25.64,30.77,20.51,94.87,97.44,43.46
26,149322,DSP Top 100 Equity Fund - Regular - Growth,18.04,0.5268,0.1317,1.54,-0.1484,48.72,38.46,41.03,25.64,61.54,42.44
27,125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,11.25,0.3414,0.1199,0.78,-0.2112,35.9,33.33,35.9,76.92,28.21,40.64
28,120841,Kotak Bluechip Fund - Regular - Growth,17.27,0.5612,0.1304,1.59,-0.1757,46.15,41.03,38.46,12.82,41.03,37.82
29,118634,Nippon India Small Cap Fund - Regular - Growth,8.01,0.5149,0.175,1.53,-0.2334,33.33,35.9,56.41,30.77,20.51,36.92
30,119120,SBI Magnum Gilt Fund - Regular Plan - Growth,5.84,-0.1865,0.0562,0.77,-0.0433,20.51,12.82,15.38,79.49,89.74,33.33
31,118636,Nippon India Gilt Securities Fund - Regular - Growth,4.06,-0.3239,0.0507,0.55,-0.0832,17.95,5.13,12.82,100.0,87.18,32.95
32,101208,ABSL Liquid Fund - Regular - Growth,6.32,-0.4438,0.0609,0.79,-0.0016,23.08,2.56,17.95,74.36,94.87,31.79
33,100025,HDFC Short Term Debt Fund - Regular - Growth,3.92,-0.5433,0.0428,0.56,-0.0431,15.38,0.0,5.13,97.44,92.31,29.49
34,120842,Kotak Emerging Equity Fund - Regular - Growth,7.76,0.0936,0.078,1.56,-0.24,30.77,23.08,28.21,17.95,17.95,25.13
35,119599,SBI Small Cap Fund - Direct Plan - Growth,-1.34,-0.052,0.0488,0.72,-0.5257,5.13,17.95,10.26,89.74,0.0,21.54
36,119092,Axis Bluechip Fund - Regular - Growth,0.53,0.0483,0.069,1.64,-0.144,10.26,20.51,25.64,2.56,64.1,20.13
37,101207,ABSL Small Cap Fund - Regular - Growth,-4.15,0.1855,0.109,1.53,-0.3545,2.56,28.21,33.33,30.77,5.13,19.62
38,119095,Axis Small Cap Fund - Regular - Growth,-11.71,-0.0717,0.048,1.38,-0.5168,0.0,15.38,7.69,61.54,2.56,14.87
39,102886,UTI Mid Cap Fund - Regular - Growth,-0.77,-0.2037,0.029,1.51,-0.28,7.69,7.69,0.0,41.03,12.82,11.67
40,100016,HDFC Top 100 Fund - Regular Plan - Growth,1.29,-0.1971,0.0375,1.55,-0.2473,12.82,10.26,2.56,20.51,15.38,11.54
